1	  35	   8.3	 219.38
2	  42	  47.5	  15.88
3	   8	  33.8	  76.56
4	  99	 191.5	 276.22
5	  28	  21.2	 278.83
6	  73	 122.2	 147.16
7	   8	   6.4	 294.54
8	  15	 113.0	 295.23
9	  97	 137.2	 120.03
10	  37	 173.9	 111.98
11	  13	  70.8	 173.69
12	  54	 176.3	  66.78
13	  57	   7.2	 151.79
14	  86	  59.1	 220.42
15	  54	  40.5	 259.03
16	  87	 195.1	  23.98
17	  57	  79.2	  65.58
18	  69	 176.5	  23.16
19	  76	 115.2	 118.63
20	  39	 195.9	 169.46
21	  66	   5.8	 118.13
22	  95	  82.5	 262.01
23	  70	  11.9	 125.54
24	  10	 193.8	 250.09
25	  59	  79.8	  61.26
26	  51	  35.5	 254.28
27	  25	  15.4	 271.05
28	   3	  54.8	 154.39
29	  47	  49.6	   7.81
30	   9	 132.4	  70.20
31	  71	 139.3	 203.87
32	  93	  21.6	  84.55
33	  31	 127.0	 286.99
34	  71	  89.7	  55.52
35	  93	 131.4	 116.48
36	  77	 161.9	 255.74
37	   3	  48.9	 137.39
38	  89	  33.2	 132.86
39	  57	 117.8	 182.82
40	  15	 102.2	 260.78
41	  62	 182.1	  59.84
42	  31	  98.8	 204.14
43	   5	 121.5	  48.70
44	   1	  96.1	 284.32
45	  19	  65.8	 139.77
46	  94	  12.5	  56.09
47	  66	  90.5	  72.92
48	  82	 187.4	  17.14
49	  58	  97.9	 120.58
50	  48	  27.0	 237.20
51	  25	 113.2	 265.58
52	  85	  88.0	   9.99
53	  53	 174.6	  64.64
54	   9	  31.9	  69.86
55	  83	 155.8	 218.11
56	  97	  66.7	 209.28
57	  34	  48.2	  42.43
58	  63	  37.1	 221.20
59	  38	 195.1	 171.36
60	  34	 113.7	 239.26
61	  27	 163.1	 108.12
62	  53	  31.5	 235.57
63	  92	 140.7	 146.91
64	  30	 165.7	 108.26
65	  56	 162.3	  20.43
66	  38	  27.3	 269.08
67	  93	  44.2	 153.50
68	  17	 153.7	 109.25
69	  84	 113.5	  87.51
70	  65	 156.0	 271.74
71	  78	  70.8	 279.83
72	  44	  95.2	 152.44
73	  10	  85.5	 226.02
74	  34	 111.4	 231.47
75	  46	  54.1	  24.25
76	  39	  33.7	 282.88
77	  93	 108.3	  46.24
78	  75	  94.0	  57.48
79	  72	 108.2	 107.54
80	   7	 116.0	  26.15
81	   3	  45.7	 127.79
82	  47	  23.3	 230.32
83	  68	  78.3	  32.01
84	  30	 116.5	 259.41
85	  98	 182.6	 253.41
86	  91	 147.0	 166.98
87	  97	 129.5	  96.86
88	  93	  33.9	 122.16
89	  95	  39.6	 134.37
90	  60	 173.7	  42.45
91	  91	  41.8	 153.77
92	  83	 132.4	 149.05
93	  64	 111.1	 140.38
94	  20	 104.4	 252.43
95	  69	 150.1	 244.52
96	  89	 197.8	  27.42
97	  89	 168.8	 238.43
98	  39	 166.4	  80.91
99	  39	 175.5	 110.06
101	  31	  55.7	  75.39
102	  23	 160.4	 110.87
103	  89	  77.6	 265.03
104	  90	 115.5	  76.24
105	  51	 114.5	 191.62
106	  83	  45.6	 187.74
107	  36	 116.0	 241.13
108	  34	 136.6	   9.18
109	  18	  49.4	  93.62
110	   7	  50.2	 130.33
111	  81	 145.4	 191.93
112	  43	 186.0	 128.62
113	  23	 177.7	 165.33
114	  82	 108.0	  78.04
